Dataset a=0.6 a=0.7 a=0.8 a=0.9
FiftyWords 0.59 0.63 0.65 0.66
Adiac 0.55 0.54 0.56 0.61
Beef 0.50 0.53 0.50 0.57
CBF 0.87 0.87 0.87 0.87
ChlorineConcentration 0.56 0.56 0.57 0.64
CinCECGTorso 0.68 0.77 0.82 0.81
Coffee 0.46 0.50 0.93 0.93
CricketX 0.59 0.59 0.60 0.60
CricketY 0.65 0.65 0.71 0.72
CricketZ 0.63 0.64 0.63 0.66
DiatomSizeReduction 0.88 0.84 0.84 0.84
ECG200 0.83 0.83 0.86 0.88
ECGFiveDays 0.62 0.62 0.62 0.65
FaceAll 0.84 0.85 0.86 0.87
FaceFour 0.91 0.91 0.92 0.91
FacesUCR 0.70 0.71 0.75 0.81
Fish 0.72 0.73 0.86 0.86
GunPoint 0.89 0.93 0.93 0.93
Haptics 0.39 0.40 0.43 0.48
InlineSkate 0.27 0.28 0.27 0.28
ItalyPowerDemand 0.72 0.83 0.90 0.91
Lightning2 0.66 0.66 0.66 0.59
Lightning7 0.44 0.49 0.52 0.53
Mallat 0.62 0.80 0.83 0.92
MedicalImages 0.75 0.74 0.75 0.74
MoteStrain 0.78 0.78 0.79 0.79
OliveOil 0.60 0.60 0.63 0.67
OSULeaf 0.46 0.48 0.50 0.52
SonyAIBORobotSurface1 0.81 0.81 0.81 0.81
SonyAIBORobotSurface2 0.79 0.79 0.79 0.78
StarLightCurves 0.94 0.95 0.95 0.96
SwedishLeaf 0.77 0.77 0.83 0.85
Symbols 0.66 0.66 0.66 0.78
SyntheticControl 0.85 0.93 0.94 0.95
Trace 0.68 0.67 0.81 0.81
TwoLeadECG 0.81 0.82 0.83 0.83
TwoPatterns 0.67 0.76 0.87 0.86
UWaveGestureLibraryX 0.71 0.73 0.75 0.77
UWaveGestureLibraryY 0.59 0.61 0.66 0.69
UWaveGestureLibraryZ 0.64 0.70 0.72 0.72
Wafer 0.97 0.97 0.98 0.98
WordSynonyms 0.42 0.44 0.49 0.60
Yoga 0.77 0.78 0.79 0.81
NonInvasiveFatalECGThorax1 0.85 0.86 0.87 0.89
NonInvasiveFatalECGThorax2 0.87 0.91 0.93 0.93
